City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Qui Nhon,VN,2021-06-06 23:11:16,13.7667,109.2333,81.46,73,100,5.86
93,Tuatapere,NZ,2021-06-06 23:11:17,-46.1333,167.6833,49.82,79,18,4.63
94,Mayahi,NE,2021-06-06 23:11:17,13.9553,7.6712,90.64,29,97,3.29
95,Yulara,AU,2021-06-06 23:11:17,-25.2406,130.9889,46.24,66,37,4.61
96,Melito Di Porto Salvo,IT,2021-06-06 23:11:18,37.9222,15.7714,74.3,53,40,6.82
97,Qaanaaq,GL,2021-06-06 23:11:18,77.484,-69.3632,40.37,76,59,5.39
98,Peniche,PT,2021-06-06 23:11:18,39.3558,-9.3811,61.48,85,0,16.28
99,Batagay-Alyta,RU,2021-06-06 23:11:19,67.8006,130.4114,49.06,52,96,8.48
100,Viedma,AR,2021-06-06 23:11:19,-40.8135,-62.9967,49.87,44,98,11.36
101,Alofi,NU,2021-06-06 23:11:19,-19.0595,-169.9187,76.89,59,54,10.02
102,Hithadhoo,MV,2021-06-06 23:11:19,-0.6,73.0833,82.74,73,11,12.35
103,Ahuimanu,US,2021-06-06 23:11:20,21.4447,-157.8378,83.91,59,90,12.66
104,Bethel,US,2021-06-06 23:11:20,41.3712,-73.414,88.88,64,34,4.74
105,Samarkand,UZ,2021-06-06 23:11:20,39.6542,66.9597,80.02,34,14,4.61
106,Kayattar,IN,2021-06-06 23:11:21,8.95,77.8,79.81,72,90,10.22
107,Tuktoyaktuk,CA,2021-06-06 23:11:21,69.4541,-133.0374,36.91,74,14,11.77
108,Bengkulu,ID,2021-06-06 23:08:41,-3.8004,102.2655,73.58,89,25,3.71
109,Maniitsoq,GL,2021-06-06 23:06:51,65.4167,-52.9,40.24,90,100,8.19
110,Wanning,CN,2021-06-06 23:11:22,18.8003,110.3967,79.14,91,30,3.24
111,Provideniya,RU,2021-06-06 23:11:22,64.3833,-173.3,42.91,61,75,4.47
112,Mar Del Plata,AR,2021-06-06 23:09:07,-38.0023,-57.5575,54.12,69,0,8.99
113,Pangnirtung,CA,2021-06-06 23:11:22,66.1451,-65.7125,32.49,93,26,2.86
114,Yining,CN,2021-06-06 23:11:23,29.0361,114.5636,71.53,77,100,1.86
115,Yellowknife,CA,2021-06-06 23:11:23,62.456,-114.3525,50.56,53,100,5.99
116,Ribeira Grande,PT,2021-06-06 23:11:23,38.5167,-28.7,65.16,87,100,7.65
117,Naze,JP,2021-06-06 23:10:07,28.3667,129.4833,69.19,94,100,3.4
118,Dikson,RU,2021-06-06 23:11:24,73.5069,80.5464,29.35,92,100,11.97
119,Imeni Poliny Osipenko,RU,2021-06-06 23:11:24,52.4201,136.4853,52.29,73,52,4.38
120,Geraldton,AU,2021-06-06 23:11:24,-28.7667,114.6,55.81,82,94,17.67
121,Diapaga,BF,2021-06-06 23:11:25,12.0708,1.7889,83.62,58,86,10.87
122,Hobart,AU,2021-06-06 23:10:12,-42.8794,147.3294,58.26,74,75,1.99
123,Chokurdakh,RU,2021-06-06 23:11:25,70.6333,147.9167,38.88,68,99,5.77
124,Visby,SE,2021-06-06 23:11:25,57.6409,18.296,49.95,87,5,0.0
125,Mount Isa,AU,2021-06-06 23:11:26,-20.7333,139.5,64.17,36,0,8.05
126,Torbay,CA,2021-06-06 23:11:26,47.6666,-52.7314,43.75,89,75,17.27
127,Goderich,CA,2021-06-06 23:11:26,43.7501,-81.7165,86.04,75,27,10.92
128,Ornskoldsvik,SE,2021-06-06 23:11:27,63.2909,18.7153,58.82,93,82,2.93
129,Burns Lake,CA,2021-06-06 23:11:27,54.2331,-125.7533,56.35,38,100,5.41
130,Comodoro Rivadavia,AR,2021-06-06 23:10:45,-45.8667,-67.5,51.66,46,0,14.97
131,Bubaque,GW,2021-06-06 23:11:27,11.2833,-15.8333,79.32,86,35,14.88
132,Pisco,PE,2021-06-06 23:11:28,-13.7,-76.2167,64.45,77,0,8.05
133,Brigham City,US,2021-06-06 23:11:28,41.5102,-112.0155,86.04,18,1,1.99
134,Saskylakh,RU,2021-06-06 23:11:28,71.9167,114.0833,39.24,56,77,4.59
135,Sharjah,AE,2021-06-06 23:11:10,25.3573,55.4033,93.36,60,0,17.63
136,Luderitz,NA,2021-06-06 23:11:29,-26.6481,15.1594,68.52,31,1,10.04
137,Avarua,CK,2021-06-06 23:11:29,-21.2078,-159.775,77.05,61,75,3.44
138,Lebu,CL,2021-06-06 23:11:29,-37.6167,-73.65,48.79,79,91,4.21
139,Port Elizabeth,ZA,2021-06-06 23:11:30,-33.918,25.5701,62.28,28,0,9.8
140,Salalah,OM,2021-06-06 23:11:30,17.0151,54.0924,84.29,89,40,5.75
141,Kapaa,US,2021-06-06 23:11:30,22.0752,-159.319,83.19,70,40,3.0
142,Shimoda,JP,2021-06-06 23:11:30,34.6667,138.95,73.17,83,95,3.44
143,Nantucket,US,2021-06-06 23:11:31,41.2835,-70.0995,74.07,82,1,10.36
144,Tasiilaq,GL,2021-06-06 23:11:31,65.6145,-37.6368,41.16,91,98,5.23
145,Riberalta,BO,2021-06-06 23:11:31,-10.9833,-66.1,78.62,70,42,0.74
146,Ponta Do Sol,PT,2021-06-06 23:11:32,32.6667,-17.1,66.83,73,4,5.88
147,Dongkan,CN,2021-06-06 23:11:32,33.9997,119.8308,78.96,39,100,11.01
148,Sao Filipe,CV,2021-06-06 23:11:32,14.8961,-24.4956,74.62,71,36,11.3
149,Cayenne,GF,2021-06-06 23:11:33,4.9333,-52.3333,79.09,87,0,5.48
150,Malanje,AO,2021-06-06 23:11:33,-9.5402,16.341,61.07,49,52,3.06
151,Nizhniy Kuranakh,RU,2021-06-06 23:11:33,58.8353,125.4869,52.93,84,83,11.5
152,Ketchikan,US,2021-06-06 23:08:50,55.3422,-131.6461,54.07,82,75,14.97
153,Chanika,TZ,2021-06-06 23:11:34,-5.4167,38.0167,62.92,97,67,3.24
154,Eureka,US,2021-06-06 23:11:34,40.8021,-124.1637,69.67,66,68,8.99
155,Tahoua,NE,2021-06-06 23:11:34,14.8888,5.2692,79.43,61,67,20.67
156,Svetlogorsk,BY,2021-06-06 23:11:34,52.6333,29.7333,54.91,94,54,6.29
157,Kungurtug,RU,2021-06-06 23:11:35,50.5994,97.5228,37.99,92,100,3.04
158,Huarmey,PE,2021-06-06 23:11:35,-10.0681,-78.1522,66.34,81,96,8.41
159,Lydenburg,ZA,2021-06-06 23:11:35,-25.0978,30.4597,41.27,92,14,3.76
160,Mildura,AU,2021-06-06 23:11:36,-34.2,142.15,53.56,66,66,13.8
161,Puerto Ayora,EC,2021-06-06 23:10:02,-0.7393,-90.3518,74.55,90,38,1.99
162,Saint George,US,2021-06-06 23:11:01,37.1041,-113.5841,102.67,11,1,4.0
163,Polunochnoye,RU,2021-06-06 23:11:36,60.8697,60.4153,45.34,51,63,3.94
164,Cockburn Town,TC,2021-06-06 23:11:37,21.4612,-71.1419,79.97,80,18,21.99
165,Povenets,RU,2021-06-06 23:11:37,62.8487,34.8262,49.1,57,75,11.05
166,Vytegra,RU,2021-06-06 23:11:37,61.0064,36.4481,54.37,91,2,4.81
167,Comarapa,BO,2021-06-06 23:11:37,-17.9,-64.4833,51.04,96,87,2.24
168,Urengoy,RU,2021-06-06 23:11:38,65.9667,78.3667,35.2,73,34,7.92
169,Lagoa,PT,2021-06-06 23:08:03,39.05,-27.9833,63.82,88,100,11.7
170,Umm Kaddadah,SD,2021-06-06 23:11:38,13.6017,26.6876,86.54,14,3,10.51
171,Todos Santos,MX,2021-06-06 23:11:38,23.45,-110.2167,100.0,65,26,7.76
172,Castro,BR,2021-06-06 23:11:39,-24.7911,-50.0119,60.35,71,96,3.49
173,Olavarria,AR,2021-06-06 23:11:39,-36.8927,-60.3225,46.38,62,100,4.7
174,Faanui,PF,2021-06-06 23:11:40,-16.4833,-151.75,80.98,77,82,11.72
175,Hermitage,US,2021-06-06 23:11:40,41.2334,-80.4487,85.96,52,75,3.96
176,Beasain,ES,2021-06-06 23:11:40,43.0502,-2.2009,58.14,94,33,0.47
177,Poso,ID,2021-06-06 23:11:41,-1.3959,120.7524,82.35,70,79,3.4
178,Aksu,CN,2021-06-06 23:11:41,41.1231,80.2644,72.86,29,47,5.64
179,Andenes,NO,2021-06-06 23:11:41,69.3143,16.1194,57.47,71,90,4.61
180,Homer,US,2021-06-06 23:09:25,59.6425,-151.5483,69.08,61,1,18.41
