City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Saint-Philippe,RE,2021-06-07 04:22:42,-21.3585,55.7679,71.15,83,97,17.4
93,Bure,ET,2021-06-07 04:25:18,10.7,37.0667,60.19,59,46,3.24
94,Chuy,UY,2021-06-07 04:24:06,-33.6971,-53.4616,50.22,79,11,5.97
95,Pascagoula,US,2021-06-07 04:24:39,30.3658,-88.5561,73.44,96,1,11.59
96,Ulaanbaatar,MN,2021-06-07 04:25:18,47.9077,106.8832,46.53,66,75,10.42
97,Kenai,US,2021-06-07 04:25:18,60.5544,-151.2583,69.03,46,1,18.41
98,Nelson Bay,AU,2021-06-07 04:25:19,-32.7167,152.15,68.76,65,81,1.99
99,Kaeo,NZ,2021-06-07 04:25:19,-35.1,173.7833,62.33,95,100,12.03
100,Vaini,TO,2021-06-07 04:23:55,-21.2,-175.2,71.76,100,90,5.75
101,Guerrero Negro,MX,2021-06-07 04:25:19,27.9769,-114.0611,62.69,78,92,14.99
102,Muroto,JP,2021-06-07 04:25:19,33.2833,134.15,75.24,80,100,7.67
103,Dingle,PH,2021-06-07 04:25:20,10.9995,122.6711,87.33,62,100,5.32
104,Padang,ID,2021-06-07 04:20:28,-0.9492,100.3543,84.25,61,9,4.88
105,Avarua,CK,2021-06-07 04:25:20,-21.2078,-159.775,71.65,78,94,2.3
106,Along,IN,2021-06-07 04:25:21,28.1667,94.7667,73.18,97,100,1.95
107,Lasa,IT,2021-06-07 04:25:21,46.6166,10.7002,59.88,93,100,1.61
108,Kavieng,PG,2021-06-07 04:25:21,-2.5744,150.7967,83.32,71,14,5.32
109,Korla,CN,2021-06-07 04:25:22,41.7597,86.1469,81.34,25,27,2.71
110,Lagoa,PT,2021-06-07 04:24:11,39.05,-27.9833,63.57,90,100,13.15
111,Lashio,MM,2021-06-07 04:25:22,22.9333,97.75,79.81,78,99,1.23
112,Punta Arenas,CL,2021-06-07 04:20:41,-53.15,-70.9167,35.71,87,0,10.47
113,Narsaq,GL,2021-06-07 04:25:23,60.9167,-46.05,55.62,79,100,2.59
114,Westport,US,2021-06-07 04:25:23,41.1415,-73.3579,80.37,81,1,1.01
115,Santa Rosa,PH,2021-06-07 04:25:23,14.3122,121.1114,93.09,63,79,2.68
116,Chaman,PK,2021-06-07 04:25:24,30.9236,66.4512,90.19,24,0,9.37
117,Muravlenko,RU,2021-06-07 04:25:24,63.7898,74.523,44.78,42,47,6.8
118,Maarianhamina,AX,2021-06-07 04:22:09,60.0973,19.9348,60.66,82,0,0.0
119,Quatre Cocos,MU,2021-06-07 04:25:24,-20.2078,57.7625,76.08,80,52,17.98
120,Bambanglipuro,ID,2021-06-07 04:25:25,-7.95,110.2833,68.61,68,48,8.61
121,Tasiilaq,GL,2021-06-07 04:21:42,65.6145,-37.6368,42.96,90,97,2.91
122,Bandarbeyla,SO,2021-06-07 04:24:19,9.4942,50.8122,81.39,72,2,25.97
123,Iqaluit,CA,2021-06-07 04:24:23,63.7506,-68.5145,31.73,93,90,3.0
124,Aswan,EG,2021-06-07 04:22:49,24.0934,32.907,80.29,19,0,13.6
125,Tura,IN,2021-06-07 04:25:25,25.5198,90.2201,84.15,71,35,6.55
126,Rio Grande,BR,2021-06-07 04:25:25,-32.035,-52.0986,57.16,77,9,10.51
127,Butaritari,KI,2021-06-07 04:23:44,3.0707,172.7902,82.94,72,23,7.87
128,Ambon,ID,2021-06-07 04:23:08,-3.6954,128.1814,84.34,74,40,11.43
129,Porto Novo,BJ,2021-06-07 04:22:43,6.4965,2.6036,80.42,89,53,2.17
130,Nabire,ID,2021-06-07 04:21:52,-3.3667,135.4833,81.41,83,85,2.26
131,Tongchuan,CN,2021-06-07 04:25:26,35.0806,109.0897,91.22,22,92,4.76
132,Waw,SS,2021-06-07 04:25:27,7.7029,27.9953,71.31,93,100,3.42
133,Ribeira Grande,PT,2021-06-07 04:25:27,38.5167,-28.7,64.99,91,100,9.48
134,Yarega,RU,2021-06-07 04:25:27,63.4354,53.5765,44.44,44,3,11.25
135,Oskarshamn,SE,2021-06-07 04:25:28,57.2645,16.4484,59.81,70,13,2.77
136,Kaitangata,NZ,2021-06-07 04:25:28,-46.2817,169.8464,53.92,78,0,8.5
137,Tevaitoa,PF,2021-06-07 04:25:28,-16.7833,-151.5,81.05,77,25,10.6
138,Hervey Bay,AU,2021-06-07 04:25:29,-25.2986,152.8535,68.83,62,90,11.43
139,Sorong,ID,2021-06-07 04:25:29,-0.8833,131.25,83.82,72,86,6.78
140,Denpasar,ID,2021-06-07 04:25:29,-8.65,115.2167,85.66,79,20,6.6
141,Bontang,ID,2021-06-07 04:25:30,0.1333,117.5,77.72,90,100,8.46
142,Port Elizabeth,ZA,2021-06-07 04:25:30,-33.918,25.5701,55.69,41,0,3.44
143,Salalah,OM,2021-06-07 04:25:30,17.0151,54.0924,84.29,89,75,6.91
144,Adamas,GR,2021-06-07 04:25:31,36.7333,24.4333,63.82,76,8,3.96
145,Lompoc,US,2021-06-07 04:25:31,34.6391,-120.4579,60.39,87,90,7.02
146,Hovd,MN,2021-06-07 04:25:31,48.0056,91.6419,54.3,36,0,7.74
147,Rundu,NA,2021-06-07 04:25:31,-17.9333,19.7667,44.49,71,6,6.55
148,Alofi,NU,2021-06-07 04:22:11,-19.0595,-169.9187,78.69,69,8,5.75
149,Comodoro Rivadavia,AR,2021-06-07 04:25:32,-45.8667,-67.5,53.46,40,0,21.85
150,Tagusao,PH,2021-06-07 04:25:32,9.1924,117.8141,85.37,74,92,8.48
151,Solano,US,2021-06-07 04:25:32,38.2333,-121.9511,73.11,51,1,18.41
152,Ranong,TH,2021-06-07 04:25:33,9.9658,98.6348,82.33,81,100,7.31
153,Klaksvik,FO,2021-06-07 04:25:33,62.2266,-6.589,49.12,92,100,4.41
154,Gusau,NG,2021-06-07 04:25:33,12.1628,6.6614,79.5,60,97,9.64
155,Todos Santos,MX,2021-06-07 04:25:34,23.45,-110.2167,87.3,80,35,2.84
156,East London,ZA,2021-06-07 04:23:58,-33.0153,27.9116,63.54,36,0,8.05
157,Sao Paulo De Olivenca,BR,2021-06-07 04:25:34,-3.3783,-68.8725,72.52,99,96,1.68
158,Bredasdorp,ZA,2021-06-07 04:21:03,-34.5322,20.0403,61.92,39,4,8.25
159,Betanzos,ES,2021-06-07 04:25:34,43.2804,-8.2147,58.66,90,19,3.0
160,Deputatskiy,RU,2021-06-07 04:25:35,69.3,139.9,50.4,42,88,14.43
161,Santiago,CL,2021-06-07 04:25:35,-33.4569,-70.6483,61.18,63,90,1.97
162,Kirakira,SB,2021-06-07 04:25:35,-10.4544,161.9205,82.24,78,37,7.0
163,Upata,VE,2021-06-07 04:25:36,8.0086,-62.3989,70.21,96,63,5.03
164,Flinders,AU,2021-06-07 04:21:35,-34.5833,150.8552,70.18,58,99,4.0
165,Santa Marinella,IT,2021-06-07 04:25:36,42.0345,11.8536,63.7,94,100,6.06
166,High Rock,BS,2021-06-07 04:25:36,26.6208,-78.2833,78.82,74,99,16.8
167,Salina Cruz,MX,2021-06-07 04:25:37,16.1667,-95.2,83.79,80,92,9.6
168,Kawalu,ID,2021-06-07 04:25:37,-7.3817,108.2082,85.14,61,75,4.38
169,Chokurdakh,RU,2021-06-07 04:22:00,70.6333,147.9167,46.04,50,44,6.11
170,Biak,ID,2021-06-07 04:25:37,-0.9131,122.8766,82.51,69,86,6.44
171,Aparan,AM,2021-06-07 04:25:38,40.5932,44.3589,46.9,74,15,0.96
172,Atasu,KZ,2021-06-07 04:22:45,48.6814,71.6433,71.04,26,100,13.29
173,Prochnookopskaya,RU,2021-06-07 04:25:38,45.0666,41.1175,60.46,85,100,5.86
174,Athabasca,CA,2021-06-07 04:25:38,54.7169,-113.2854,58.69,60,21,6.26
175,Mehamn,NO,2021-06-07 04:25:39,71.0357,27.8492,42.75,70,0,10.36
176,Den Helder,NL,2021-06-07 04:25:39,52.9599,4.7593,55.38,94,20,3.44
177,Belaya Gora,RU,2021-06-07 04:25:39,68.5333,146.4167,51.21,48,28,5.21
178,Hilo,US,2021-06-07 04:21:58,19.7297,-155.09,77.29,78,90,4.61
